"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.158";"0.144";"14368.549";"1e+05";"14368.549";"90660.443";"4771043.042";"47.71"
"1901";"1";"0.027";"0.027";"2273.371";"85631.451";"2273.371";"84494.765";"4680382.599";"54.657"
"1901";"2";"0.016";"0.015";"1288.974";"83358.079";"1288.974";"82713.592";"4595887.834";"55.134"
"1901";"3";"0.01";"0.01";"826.1";"82069.105";"826.1";"81656.055";"4513174.242";"54.992"
"1901";"4";"0.008";"0.008";"637.49";"81243.005";"637.49";"80924.26";"4431518.187";"54.546"
"1901";"5";"0.006";"0.006";"485.631";"80605.516";"485.631";"80362.7";"4350593.926";"53.974"
"1901";"6";"0.005";"0.005";"421.824";"80119.884";"421.824";"79908.973";"4270231.226";"53.298"
"1901";"7";"0.005";"0.005";"378.854";"79698.061";"378.854";"79508.634";"4190322.253";"52.577"
"1901";"8";"0.005";"0.005";"363.052";"79319.207";"363.052";"79137.681";"4110813.619";"51.826"
"1901";"9";"0.005";"0.005";"414.44";"78956.155";"414.44";"78748.935";"4031675.938";"51.062"
"1901";"10";"0.006";"0.006";"455.973";"78541.715";"455.973";"78313.729";"3952927.003";"50.329"
"1901";"11";"0.006";"0.006";"466.271";"78085.742";"466.271";"77852.607";"3874613.274";"49.62"
"1901";"12";"0.006";"0.006";"463.494";"77619.471";"463.494";"77387.724";"3796760.667";"48.915"
"1901";"13";"0.006";"0.006";"458.487";"77155.977";"458.487";"76926.734";"3719372.943";"48.206"
"1901";"14";"0.005";"0.005";"409.501";"76697.49";"409.501";"76492.739";"3642446.21";"47.491"
"1901";"15";"0.005";"0.005";"379.95";"76287.989";"379.95";"76098.014";"3565953.47";"46.743"
"1901";"16";"0.005";"0.005";"355.22";"75908.038";"355.22";"75730.428";"3489855.457";"45.975"
"1901";"17";"0.004";"0.004";"325.908";"75552.819";"325.908";"75389.864";"3414125.028";"45.189"
"1901";"18";"0.004";"0.004";"314.456";"75226.91";"314.456";"75069.682";"3338735.164";"44.382"
"1901";"19";"0.004";"0.004";"326.919";"74912.454";"326.919";"74748.995";"3263665.481";"43.566"
"1901";"20";"0.005";"0.005";"397.283";"74585.535";"397.283";"74386.894";"3188916.487";"42.755"
"1901";"21";"0.006";"0.006";"412.83";"74188.252";"412.83";"73981.837";"3114529.593";"41.981"
"1901";"22";"0.006";"0.006";"470.25";"73775.422";"470.25";"73540.297";"3040547.756";"41.214"
"1901";"23";"0.007";"0.007";"479.911";"73305.171";"479.911";"73065.216";"2967007.46";"40.475"
"1901";"24";"0.007";"0.007";"515.847";"72825.26";"515.847";"72567.337";"2893942.244";"39.738"
"1901";"25";"0.008";"0.008";"547.4";"72309.413";"547.4";"72035.713";"2821374.907";"39.018"
"1901";"26";"0.008";"0.008";"550.125";"71762.013";"550.125";"71486.95";"2749339.194";"38.312"
"1901";"27";"0.008";"0.008";"574.05";"71211.887";"574.05";"70924.863";"2677852.244";"37.604"
"1901";"28";"0.008";"0.008";"596.887";"70637.838";"596.887";"70339.394";"2606927.382";"36.906"
"1901";"29";"0.008";"0.008";"540.474";"70040.951";"540.474";"69770.714";"2536587.987";"36.216"
"1901";"30";"0.009";"0.009";"591.322";"69500.477";"591.322";"69204.816";"2466817.273";"35.494"
"1901";"31";"0.008";"0.008";"578.499";"68909.154";"578.499";"68619.905";"2397612.458";"34.794"
"1901";"32";"0.009";"0.009";"606.394";"68330.655";"606.394";"68027.458";"2328992.553";"34.084"
"1901";"33";"0.009";"0.009";"579.815";"67724.261";"579.815";"67434.353";"2260965.096";"33.385"
"1901";"34";"0.009";"0.009";"599.539";"67144.446";"599.539";"66844.676";"2193530.742";"32.669"
"1901";"35";"0.009";"0.009";"575.834";"66544.906";"575.834";"66256.99";"2126686.066";"31.959"
"1901";"36";"0.009";"0.008";"559.126";"65969.073";"559.126";"65689.51";"2060429.077";"31.233"
"1901";"37";"0.009";"0.008";"555.227";"65409.946";"555.227";"65132.333";"1994739.567";"30.496"
"1901";"38";"0.009";"0.008";"551.193";"64854.719";"551.193";"64579.123";"1929607.234";"29.753"
"1901";"39";"0.008";"0.008";"500.242";"64303.526";"500.242";"64053.406";"1865028.111";"29.004"
"1901";"40";"0.009";"0.009";"557.418";"63803.285";"557.418";"63524.576";"1800974.706";"28.227"
"1901";"41";"0.008";"0.008";"494.471";"63245.867";"494.471";"62998.631";"1737450.13";"27.471"
"1901";"42";"0.009";"0.009";"565.365";"62751.396";"565.365";"62468.714";"1674451.499";"26.684"
"1901";"43";"0.008";"0.008";"500.081";"62186.031";"500.081";"61935.991";"1611982.785";"25.922"
"1901";"44";"0.008";"0.008";"519.053";"61685.951";"519.053";"61426.424";"1550046.794";"25.128"
"1901";"45";"0.01";"0.009";"579.811";"61166.898";"579.811";"60876.993";"1488620.369";"24.337"
"1901";"46";"0.01";"0.01";"601.955";"60587.088";"601.955";"60286.11";"1427743.376";"23.565"
"1901";"47";"0.011";"0.01";"626.637";"59985.132";"626.637";"59671.814";"1367457.267";"22.797"
