"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.187";"0.166";"16635.319";"1e+05";"16635.319";"88854.336";"4233589.438";"42.336"
"1901";"1";"0.029";"0.028";"2354.925";"83364.681";"2354.925";"82187.219";"4144735.101";"49.718"
"1901";"2";"0.016";"0.016";"1317.995";"81009.756";"1317.995";"80350.759";"4062547.883";"50.149"
"1901";"3";"0.01";"0.01";"808.369";"79691.761";"808.369";"79287.577";"3982197.124";"49.97"
"1901";"4";"0.008";"0.008";"643.078";"78883.392";"643.078";"78561.853";"3902909.547";"49.477"
"1901";"5";"0.007";"0.007";"532.045";"78240.314";"532.045";"77974.292";"3824347.694";"48.88"
"1901";"6";"0.006";"0.006";"466.596";"77708.269";"466.596";"77474.971";"3746373.402";"48.211"
"1901";"7";"0.006";"0.006";"443.278";"77241.673";"443.278";"77020.034";"3668898.431";"47.499"
"1901";"8";"0.005";"0.005";"412.499";"76798.395";"412.499";"76592.145";"3591878.398";"46.77"
"1901";"9";"0.005";"0.005";"387.932";"76385.896";"387.932";"76191.93";"3515286.252";"46.02"
"1901";"10";"0.004";"0.004";"326.803";"75997.965";"326.803";"75834.563";"3439094.322";"45.252"
"1901";"11";"0.004";"0.004";"271.116";"75671.161";"271.116";"75535.603";"3363259.759";"44.446"
"1901";"12";"0.003";"0.003";"255.335";"75400.045";"255.335";"75272.377";"3287724.156";"43.604"
"1901";"13";"0.003";"0.003";"243.687";"75144.71";"243.687";"75022.866";"3212451.778";"42.75"
"1901";"14";"0.003";"0.003";"231.333";"74901.023";"231.333";"74785.356";"3137428.912";"41.888"
"1901";"15";"0.004";"0.004";"263.237";"74669.69";"263.237";"74538.071";"3062643.556";"41.016"
"1901";"16";"0.004";"0.004";"292.612";"74406.453";"292.612";"74260.147";"2988105.484";"40.159"
"1901";"17";"0.005";"0.005";"345.898";"74113.841";"345.898";"73940.892";"2913845.337";"39.316"
"1901";"18";"0.006";"0.006";"411.585";"73767.943";"411.585";"73562.151";"2839904.446";"38.498"
"1901";"19";"0.006";"0.006";"460.52";"73356.358";"460.52";"73126.098";"2766342.295";"37.711"
"1901";"20";"0.008";"0.007";"545.347";"72895.838";"545.347";"72623.164";"2693216.197";"36.946"
"1901";"21";"0.01";"0.01";"694.604";"72350.491";"694.604";"72003.189";"2620593.033";"36.221"
"1901";"22";"0.011";"0.011";"783.147";"71655.887";"783.147";"71264.313";"2548589.844";"35.567"
"1901";"23";"0.011";"0.011";"756.273";"70872.74";"756.273";"70494.603";"2477325.531";"34.955"
"1901";"24";"0.01";"0.01";"683.647";"70116.467";"683.647";"69774.644";"2406830.927";"34.326"
"1901";"25";"0.01";"0.01";"675.485";"69432.82";"675.485";"69095.078";"2337056.284";"33.659"
"1901";"26";"0.01";"0.01";"688.589";"68757.335";"688.589";"68413.041";"2267961.206";"32.985"
"1901";"27";"0.01";"0.009";"645.31";"68068.746";"645.31";"67746.091";"2199548.165";"32.314"
"1901";"28";"0.01";"0.01";"690.253";"67423.436";"690.253";"67078.309";"2131802.075";"31.618"
"1901";"29";"0.01";"0.01";"635.433";"66733.182";"635.433";"66415.466";"2064723.766";"30.94"
"1901";"30";"0.011";"0.011";"728.872";"66097.75";"728.872";"65733.314";"1998308.3";"30.233"
"1901";"31";"0.012";"0.012";"765.812";"65368.877";"765.812";"64985.971";"1932574.986";"29.564"
"1901";"32";"0.013";"0.013";"841.833";"64603.065";"841.833";"64182.149";"1867589.015";"28.909"
"1901";"33";"0.013";"0.013";"836.31";"63761.233";"836.31";"63343.078";"1803406.866";"28.284"
"1901";"34";"0.014";"0.014";"856.218";"62924.923";"856.218";"62496.814";"1740063.788";"27.653"
"1901";"35";"0.015";"0.015";"903.158";"62068.705";"903.158";"61617.126";"1677566.974";"27.028"
"1901";"36";"0.015";"0.015";"923.33";"61165.547";"923.33";"60703.882";"1615949.848";"26.419"
"1901";"37";"0.016";"0.016";"945.96";"60242.217";"945.96";"59769.237";"1555245.966";"25.817"
"1901";"38";"0.016";"0.016";"939.521";"59296.257";"939.521";"58826.496";"1495476.73";"25.22"
"1901";"39";"0.016";"0.016";"917.85";"58356.736";"917.85";"57897.811";"1436650.234";"24.618"
"1901";"40";"0.017";"0.017";"986.36";"57438.886";"986.36";"56945.706";"1378752.423";"24.004"
"1901";"41";"0.017";"0.017";"934.808";"56452.526";"934.808";"55985.122";"1321806.717";"23.414"
"1901";"42";"0.017";"0.017";"942.174";"55517.718";"942.174";"55046.63";"1265821.595";"22.8"
"1901";"43";"0.017";"0.017";"906.494";"54575.543";"906.494";"54122.296";"1210774.965";"22.185"
"1901";"44";"0.017";"0.016";"880.588";"53669.049";"880.588";"53228.755";"1156652.668";"21.552"
"1901";"45";"0.018";"0.018";"934.67";"52788.461";"934.67";"52321.126";"1103423.913";"20.903"
"1901";"46";"0.018";"0.018";"909.338";"51853.791";"909.338";"51399.122";"1051102.787";"20.271"
"1901";"47";"0.019";"0.018";"938.095";"50944.453";"938.095";"50475.406";"999703.665";"19.623"
"1901";"48";"0.019";"0.019";"964.605";"50006.359";"964.605";"49524.056";"949228.259";"18.982"
"1901";"49";"0.021";"0.021";"1020.583";"49041.754";"1020.583";"48531.462";"899704.203";"18.346"
"1901";"50";"0.024";"0.024";"1153.429";"48021.17";"1153.429";"47444.456";"851172.741";"17.725"
"1901";"51";"0.023";"0.023";"1058.332";"46867.741";"1058.332";"46338.576";"803728.285";"17.149"
"1901";"52";"0.025";"0.025";"1148.848";"45809.41";"1148.848";"45234.986";"757389.709";"16.533"
"1901";"53";"0.026";"0.025";"1130.447";"44660.562";"1130.447";"44095.338";"712154.724";"15.946"
"1901";"54";"0.026";"0.026";"1130.725";"43530.114";"1130.725";"42964.752";"668059.386";"15.347"
"1901";"55";"0.03";"0.029";"1237.565";"42399.389";"1237.565";"41780.607";"625094.634";"14.743"
"1901";"56";"0.032";"0.032";"1301.463";"41161.824";"1301.463";"40511.093";"583314.027";"14.171"
"1901";"57";"0.032";"0.032";"1272.492";"39860.361";"1272.492";"39224.115";"542802.934";"13.618"
"1901";"58";"0.035";"0.034";"1324.936";"38587.869";"1324.936";"37925.401";"503578.82";"13.05"
