"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.204";"0.179";"17921.917";"1e+05";"17921.917";"87992.316";"4494855.597";"44.949"
"1901";"1";"0.038";"0.037";"3067.889";"82078.083";"3067.889";"80544.139";"4406863.281";"53.691"
"1901";"2";"0.021";"0.021";"1673.7";"79010.194";"1673.7";"78173.344";"4326319.142";"54.756"
"1901";"3";"0.013";"0.013";"993.971";"77336.494";"993.971";"76839.509";"4248145.798";"54.931"
"1901";"4";"0.01";"0.01";"742.512";"76342.523";"742.512";"75971.267";"4171306.289";"54.639"
"1901";"5";"0.007";"0.007";"537.08";"75600.012";"537.08";"75331.472";"4095335.022";"54.171"
"1901";"6";"0.006";"0.006";"413.9";"75062.932";"413.9";"74855.982";"4020003.55";"53.555"
"1901";"7";"0.005";"0.005";"358.204";"74649.032";"358.204";"74469.93";"3945147.568";"52.849"
"1901";"8";"0.004";"0.004";"320.211";"74290.828";"320.211";"74130.723";"3870677.638";"52.102"
"1901";"9";"0.004";"0.004";"319.96";"73970.617";"319.96";"73810.637";"3796546.916";"51.325"
"1901";"10";"0.004";"0.004";"302.397";"73650.656";"302.397";"73499.458";"3722736.279";"50.546"
"1901";"11";"0.004";"0.004";"271.247";"73348.259";"271.247";"73212.635";"3649236.821";"49.752"
"1901";"12";"0.004";"0.004";"269.465";"73077.012";"269.465";"72942.279";"3576024.186";"48.935"
"1901";"13";"0.004";"0.004";"264.064";"72807.547";"264.064";"72675.515";"3503081.906";"48.114"
"1901";"14";"0.003";"0.003";"249.411";"72543.483";"249.411";"72418.777";"3430406.392";"47.288"
"1901";"15";"0.004";"0.004";"277.101";"72294.072";"277.101";"72155.522";"3357987.614";"46.449"
"1901";"16";"0.004";"0.004";"307.516";"72016.971";"307.516";"71863.213";"3285832.093";"45.626"
"1901";"17";"0.005";"0.005";"368.775";"71709.455";"368.775";"71525.067";"3213968.879";"44.819"
"1901";"18";"0.006";"0.006";"444.925";"71340.68";"444.925";"71118.217";"3142443.812";"44.048"
"1901";"19";"0.007";"0.007";"498.393";"70895.755";"498.393";"70646.558";"3071325.595";"43.322"
"1901";"20";"0.008";"0.008";"575.709";"70397.362";"575.709";"70109.507";"3000679.036";"42.625"
"1901";"21";"0.01";"0.01";"694.693";"69821.653";"694.693";"69474.306";"2930569.529";"41.972"
"1901";"22";"0.011";"0.011";"741.247";"69126.96";"741.247";"68756.336";"2861095.223";"41.389"
"1901";"23";"0.01";"0.01";"681.153";"68385.712";"681.153";"68045.136";"2792338.887";"40.832"
"1901";"24";"0.009";"0.009";"585.273";"67704.56";"585.273";"67411.923";"2724293.751";"40.238"
"1901";"25";"0.008";"0.008";"542.237";"67119.287";"542.237";"66848.168";"2656881.827";"39.584"
"1901";"26";"0.008";"0.008";"518.342";"66577.05";"518.342";"66317.879";"2590033.659";"38.903"
"1901";"27";"0.007";"0.007";"458.01";"66058.708";"458.01";"65829.703";"2523715.78";"38.204"
"1901";"28";"0.007";"0.007";"469.803";"65600.698";"469.803";"65365.796";"2457886.077";"37.467"
"1901";"29";"0.007";"0.007";"425.954";"65130.895";"425.954";"64917.918";"2392520.281";"36.734"
"1901";"30";"0.008";"0.008";"489.483";"64704.94";"489.483";"64460.199";"2327602.363";"35.973"
"1901";"31";"0.008";"0.008";"508.459";"64215.458";"508.459";"63961.228";"2263142.164";"35.243"
"1901";"32";"0.009";"0.009";"547.994";"63706.998";"547.994";"63433.001";"2199180.936";"34.52"
"1901";"33";"0.008";"0.008";"531.467";"63159.004";"531.467";"62893.271";"2135747.935";"33.815"
"1901";"34";"0.008";"0.008";"529.441";"62627.537";"529.441";"62362.817";"2072854.664";"33.098"
"1901";"35";"0.009";"0.009";"543.61";"62098.097";"543.61";"61826.292";"2010491.847";"32.376"
"1901";"36";"0.009";"0.009";"546.384";"61554.487";"546.384";"61281.295";"1948665.555";"31.658"
"1901";"37";"0.009";"0.009";"554.959";"61008.103";"554.959";"60730.624";"1887384.26";"30.937"
"1901";"38";"0.009";"0.009";"550.689";"60453.144";"550.689";"60177.8";"1826653.636";"30.216"
"1901";"39";"0.009";"0.009";"540.864";"59902.455";"540.864";"59632.023";"1766475.836";"29.489"
"1901";"40";"0.01";"0.01";"587.483";"59361.592";"587.483";"59067.85";"1706843.813";"28.753"
"1901";"41";"0.01";"0.01";"559.379";"58774.109";"559.379";"58494.419";"1647775.963";"28.036"
"1901";"42";"0.01";"0.01";"562.884";"58214.73";"562.884";"57933.288";"1589281.543";"27.3"
"1901";"43";"0.009";"0.009";"536.971";"57651.846";"536.971";"57383.36";"1531348.256";"26.562"
"1901";"44";"0.009";"0.009";"513.211";"57114.875";"513.211";"56858.269";"1473964.896";"25.807"
"1901";"45";"0.01";"0.009";"535.986";"56601.664";"535.986";"56333.671";"1417106.627";"25.036"
"1901";"46";"0.009";"0.009";"527.989";"56065.678";"527.989";"55801.683";"1360772.956";"24.271"
"1901";"47";"0.01";"0.01";"570.291";"55537.689";"570.291";"55252.544";"1304971.273";"23.497"
"1901";"48";"0.012";"0.011";"629.073";"54967.398";"629.073";"54652.862";"1249718.729";"22.736"
"1901";"49";"0.013";"0.013";"725.301";"54338.325";"725.301";"53975.675";"1195065.867";"21.993"
