"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.161";"0.145";"14491.796";"1e+05";"14491.796";"90290.497";"4908106.332";"49.081"
"1901";"1";"0.035";"0.034";"2910.731";"85508.204";"2910.731";"84052.838";"4817815.835";"56.343"
"1901";"2";"0.02";"0.02";"1654.997";"82597.472";"1654.997";"81769.974";"4733762.997";"57.311"
"1901";"3";"0.012";"0.012";"979.107";"80942.476";"979.107";"80452.922";"4651993.023";"57.473"
"1901";"4";"0.009";"0.009";"700.073";"79963.369";"700.073";"79613.333";"4571540.101";"57.17"
"1901";"5";"0.006";"0.006";"499.076";"79263.296";"499.076";"79013.758";"4491926.768";"56.671"
"1901";"6";"0.005";"0.005";"374.692";"78764.22";"374.692";"78576.874";"4412913.01";"56.027"
"1901";"7";"0.004";"0.004";"298.143";"78389.528";"298.143";"78240.457";"4334336.136";"55.292"
"1901";"8";"0.003";"0.003";"247.46";"78091.385";"247.46";"77967.655";"4256095.679";"54.501"
"1901";"9";"0.003";"0.003";"223.791";"77843.924";"223.791";"77732.029";"4178128.024";"53.673"
"1901";"10";"0.003";"0.003";"198.079";"77620.133";"198.079";"77521.094";"4100395.996";"52.826"
"1901";"11";"0.002";"0.002";"177.214";"77422.054";"177.214";"77333.447";"4022874.902";"51.96"
"1901";"12";"0.002";"0.002";"174.513";"77244.84";"174.513";"77157.583";"3945541.455";"51.078"
"1901";"13";"0.002";"0.002";"166.505";"77070.327";"166.505";"76987.074";"3868383.871";"50.193"
"1901";"14";"0.002";"0.002";"150.19";"76903.822";"150.19";"76828.727";"3791396.797";"49.3"
"1901";"15";"0.002";"0.002";"158.955";"76753.632";"158.955";"76674.154";"3714568.07";"48.396"
"1901";"16";"0.002";"0.002";"177.663";"76594.677";"177.663";"76505.845";"3637893.916";"47.495"
"1901";"17";"0.003";"0.003";"227.706";"76417.014";"227.706";"76303.161";"3561388.071";"46.605"
"1901";"18";"0.004";"0.004";"303.764";"76189.308";"303.764";"76037.426";"3485084.91";"45.742"
