"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.139";"0.127";"12741.048";"1e+05";"12741.048";"91463.498";"4844598.322";"48.446"
"1901";"1";"0.026";"0.026";"2277.065";"87258.952";"2277.065";"86120.42";"4753134.824";"54.472"
"1901";"2";"0.015";"0.015";"1263.945";"84981.888";"1263.945";"84349.915";"4667014.404";"54.918"
"1901";"3";"0.009";"0.009";"760.69";"83717.942";"760.69";"83337.597";"4582664.489";"54.739"
"1901";"4";"0.007";"0.007";"553.631";"82957.252";"553.631";"82680.437";"4499326.891";"54.237"
"1901";"5";"0.005";"0.005";"386.315";"82403.622";"386.315";"82210.464";"4416646.454";"53.598"
"1901";"6";"0.004";"0.004";"302.183";"82017.306";"302.183";"81866.215";"4334435.99";"52.848"
"1901";"7";"0.003";"0.003";"269.018";"81715.124";"269.018";"81580.615";"4252569.775";"52.041"
"1901";"8";"0.003";"0.003";"236.541";"81446.106";"236.541";"81327.835";"4170989.16";"51.212"
"1901";"9";"0.003";"0.003";"221.383";"81209.564";"221.383";"81098.873";"4089661.325";"50.359"
"1901";"10";"0.002";"0.002";"201.839";"80988.181";"201.839";"80887.262";"4008562.452";"49.496"
"1901";"11";"0.002";"0.002";"187.219";"80786.342";"187.219";"80692.733";"3927675.19";"48.618"
"1901";"12";"0.002";"0.002";"196.631";"80599.123";"196.631";"80500.807";"3846982.458";"47.73"
"1901";"13";"0.003";"0.003";"205.494";"80402.492";"205.494";"80299.745";"3766481.651";"46.845"
"1901";"14";"0.003";"0.003";"207.703";"80196.998";"207.703";"80093.146";"3686181.906";"45.964"
"1901";"15";"0.003";"0.003";"244.517";"79989.294";"244.517";"79867.036";"3606088.76";"45.082"
"1901";"16";"0.003";"0.003";"275.234";"79744.778";"275.234";"79607.16";"3526221.724";"44.219"
"1901";"17";"0.004";"0.004";"324.378";"79469.543";"324.378";"79307.354";"3446614.563";"43.37"
"1901";"18";"0.005";"0.005";"381.105";"79145.165";"381.105";"78954.613";"3367307.209";"42.546"
"1901";"19";"0.005";"0.005";"419.02";"78764.061";"419.02";"78554.551";"3288352.596";"41.749"
"1901";"20";"0.006";"0.006";"486.973";"78345.04";"486.973";"78101.554";"3209798.045";"40.97"
"1901";"21";"0.008";"0.008";"611.935";"77858.068";"611.935";"77552.1";"3131696.491";"40.223"
"1901";"22";"0.009";"0.009";"683.916";"77246.132";"683.916";"76904.175";"3054144.391";"39.538"
"1901";"23";"0.009";"0.009";"656.889";"76562.217";"656.889";"76233.772";"2977240.217";"38.887"
"1901";"24";"0.008";"0.008";"591.92";"75905.328";"591.92";"75609.368";"2901006.445";"38.219"
"1901";"25";"0.008";"0.008";"583.757";"75313.408";"583.757";"75021.529";"2825397.077";"37.515"
"1901";"26";"0.008";"0.008";"589.458";"74729.651";"589.458";"74434.922";"2750375.547";"36.804"
"1901";"27";"0.007";"0.007";"541.222";"74140.193";"541.222";"73869.582";"2675940.625";"36.093"
"1901";"28";"0.008";"0.008";"561.038";"73598.971";"561.038";"73318.452";"2602071.043";"35.355"
"1901";"29";"0.007";"0.007";"495.857";"73037.933";"495.857";"72790.005";"2528752.591";"34.622"
"1901";"30";"0.008";"0.007";"542.988";"72542.076";"542.988";"72270.582";"2455962.586";"33.856"
"1901";"31";"0.008";"0.008";"549.29";"71999.088";"549.29";"71724.443";"2383692.004";"33.107"
"1901";"32";"0.008";"0.008";"589.471";"71449.798";"589.471";"71155.062";"2311967.561";"32.358"
"1901";"33";"0.008";"0.008";"579.559";"70860.327";"579.559";"70570.548";"2240812.499";"31.623"
"1901";"34";"0.008";"0.008";"594.672";"70280.768";"594.672";"69983.432";"2170241.951";"30.88"
"1901";"35";"0.009";"0.009";"634.175";"69686.096";"634.175";"69369.009";"2100258.519";"30.139"
"1901";"36";"0.009";"0.009";"652.216";"69051.921";"652.216";"68725.814";"2030889.51";"29.411"
"1901";"37";"0.01";"0.01";"665.389";"68399.706";"665.389";"68067.011";"1962163.697";"28.687"
"1901";"38";"0.01";"0.01";"651.486";"67734.317";"651.486";"67408.573";"1894096.686";"27.964"
"1901";"39";"0.009";"0.009";"620.085";"67082.83";"620.085";"66772.788";"1826688.112";"27.23"
"1901";"40";"0.01";"0.01";"646.425";"66462.745";"646.425";"66139.532";"1759915.324";"26.48"
"1901";"41";"0.009";"0.009";"612.8";"65816.32";"612.8";"65509.92";"1693775.792";"25.735"
"1901";"42";"0.01";"0.01";"642.228";"65203.52";"642.228";"64882.406";"1628265.872";"24.972"
"1901";"43";"0.01";"0.01";"664.787";"64561.292";"664.787";"64228.898";"1563383.466";"24.215"
"1901";"44";"0.011";"0.011";"713.091";"63896.505";"713.091";"63539.959";"1499154.568";"23.462"
"1901";"45";"0.013";"0.013";"841.506";"63183.413";"841.506";"62762.66";"1435614.609";"22.721"
