"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.167";"0.15";"15046.467";"1e+05";"15046.467";"89918.867";"4580439.97";"45.804"
"1901";"1";"0.03";"0.03";"2538.886";"84953.533";"2538.886";"83684.09";"4490521.103";"52.859"
"1901";"2";"0.018";"0.018";"1493.469";"82414.648";"1493.469";"81667.913";"4406837.012";"53.472"
"1901";"3";"0.011";"0.011";"893.987";"80921.178";"893.987";"80474.185";"4325169.099";"53.449"
"1901";"4";"0.008";"0.008";"658.224";"80027.192";"658.224";"79698.08";"4244694.914";"53.041"
"1901";"5";"0.006";"0.006";"492.539";"79368.968";"492.539";"79122.698";"4164996.835";"52.476"
"1901";"6";"0.005";"0.005";"398.393";"78876.429";"398.393";"78677.233";"4085874.136";"51.801"
"1901";"7";"0.005";"0.005";"358.608";"78478.036";"358.608";"78298.732";"4007196.904";"51.061"
"1901";"8";"0.004";"0.004";"324.857";"78119.428";"324.857";"77957";"3928898.171";"50.293"
"1901";"9";"0.004";"0.004";"304.389";"77794.571";"304.389";"77642.376";"3850941.172";"49.501"
"1901";"10";"0.003";"0.003";"269.209";"77490.182";"269.209";"77355.577";"3773298.795";"48.694"
"1901";"11";"0.003";"0.003";"245.549";"77220.973";"245.549";"77098.198";"3695943.218";"47.862"
"1901";"12";"0.003";"0.003";"253.171";"76975.424";"253.171";"76848.838";"3618845.02";"47.013"
"1901";"13";"0.003";"0.003";"257.877";"76722.253";"257.877";"76593.314";"3541996.182";"46.166"
"1901";"14";"0.003";"0.003";"254.048";"76464.376";"254.048";"76337.352";"3465402.868";"45.32"
"1901";"15";"0.004";"0.004";"291.455";"76210.328";"291.455";"76064.6";"3389065.516";"44.47"
"1901";"16";"0.004";"0.004";"316.272";"75918.873";"316.272";"75760.737";"3313000.915";"43.639"
"1901";"17";"0.005";"0.005";"354.711";"75602.601";"354.711";"75425.246";"3237240.178";"42.819"
