"Year";"Age";"mx";"qx";"ax";"lx";"dx";"Lx";"Tx";"ex"
"1901";"0";"0.155";"0.141";"14054.55";"1e+05";"14054.55";"90864.542";"4613541.261";"46.135"
"1901";"1";"0.036";"0.035";"3049.99";"85945.45";"3049.99";"84420.455";"4522676.719";"52.623"
"1901";"2";"0.023";"0.022";"1848.916";"82895.46";"1848.916";"81971.002";"4438256.264";"53.54"
"1901";"3";"0.014";"0.014";"1165.843";"81046.544";"1165.843";"80463.623";"4356285.262";"53.75"
"1901";"4";"0.011";"0.011";"881.435";"79880.701";"881.435";"79439.984";"4275821.639";"53.528"
"1901";"5";"0.008";"0.008";"617.511";"78999.266";"617.511";"78690.511";"4196381.655";"53.119"
"1901";"6";"0.006";"0.006";"474.064";"78381.756";"474.064";"78144.724";"4117691.144";"52.534"
"1901";"7";"0.005";"0.005";"399.54";"77907.692";"399.54";"77707.921";"4039546.42";"51.85"
"1901";"8";"0.004";"0.004";"340.573";"77508.151";"340.573";"77337.865";"3961838.499";"51.115"
"1901";"9";"0.004";"0.004";"331.866";"77167.578";"331.866";"77001.645";"3884500.634";"50.339"
"1901";"10";"0.004";"0.004";"324.662";"76835.713";"324.662";"76673.382";"3807498.989";"49.554"
"1901";"11";"0.004";"0.004";"314.55";"76511.051";"314.55";"76353.776";"3730825.607";"48.762"
"1901";"12";"0.004";"0.004";"318.085";"76196.501";"318.085";"76037.458";"3654471.831";"47.961"
"1901";"13";"0.005";"0.005";"344.548";"75878.416";"344.548";"75706.142";"3578434.373";"47.16"
"1901";"14";"0.005";"0.005";"363.492";"75533.868";"363.492";"75352.122";"3502728.231";"46.373"
"1901";"15";"0.006";"0.006";"421.549";"75170.376";"421.549";"74959.601";"3427376.11";"45.595"
"1901";"16";"0.006";"0.006";"477.144";"74748.827";"477.144";"74510.255";"3352416.508";"44.849"
"1901";"17";"0.007";"0.007";"495.248";"74271.683";"495.248";"74024.059";"3277906.254";"44.134"
"1901";"18";"0.007";"0.007";"497.425";"73776.435";"497.425";"73527.722";"3203882.195";"43.427"
"1901";"19";"0.007";"0.007";"498.25";"73279.01";"498.25";"73029.885";"3130354.473";"42.718"
"1901";"20";"0.008";"0.008";"554.285";"72780.76";"554.285";"72503.618";"3057324.588";"42.007"
"1901";"21";"0.008";"0.007";"539.892";"72226.475";"539.892";"71956.529";"2984820.97";"41.326"
"1901";"22";"0.008";"0.008";"598.96";"71686.583";"598.96";"71387.103";"2912864.441";"40.633"
"1901";"23";"0.009";"0.009";"617.778";"71087.623";"617.778";"70778.734";"2841477.338";"39.971"
"1901";"24";"0.01";"0.01";"693.907";"70469.845";"693.907";"70122.892";"2770698.603";"39.318"
"1901";"25";"0.011";"0.011";"781.483";"69775.938";"781.483";"69385.197";"2700575.712";"38.704"
"1901";"26";"0.012";"0.012";"804.031";"68994.456";"804.031";"68592.44";"2631190.515";"38.136"
"1901";"27";"0.012";"0.012";"817.023";"68190.425";"817.023";"67781.913";"2562598.074";"37.58"
"1901";"28";"0.012";"0.012";"783.591";"67373.402";"783.591";"66981.606";"2494816.161";"37.03"
"1901";"29";"0.009";"0.009";"608.328";"66589.811";"608.328";"66285.646";"2427834.555";"36.46"
"1901";"30";"0.008";"0.008";"527.97";"65981.482";"527.97";"65717.497";"2361548.908";"35.791"
"1901";"31";"0.006";"0.006";"411.438";"65453.512";"411.438";"65247.793";"2295831.411";"35.076"
"1901";"32";"0.006";"0.006";"368.766";"65042.074";"368.766";"64857.692";"2230583.618";"34.294"
"1901";"33";"0.005";"0.005";"338.071";"64673.309";"338.071";"64504.273";"2165725.926";"33.487"
"1901";"34";"0.006";"0.006";"380.72";"64335.238";"380.72";"64144.878";"2101221.653";"32.661"
"1901";"35";"0.007";"0.007";"431.009";"63954.518";"431.009";"63739.014";"2037076.775";"31.852"
"1901";"36";"0.008";"0.008";"481.527";"63523.509";"481.527";"63282.745";"1973337.761";"31.065"
"1901";"37";"0.008";"0.008";"533.481";"63041.981";"533.481";"62775.241";"1910055.016";"30.298"
"1901";"38";"0.009";"0.009";"577.927";"62508.5";"577.927";"62219.537";"1847279.775";"29.552"
"1901";"39";"0.009";"0.009";"562.551";"61930.573";"562.551";"61649.297";"1785060.238";"28.824"
"1901";"40";"0.011";"0.011";"660.52";"61368.022";"660.52";"61037.762";"1723410.941";"28.083"
"1901";"41";"0.01";"0.01";"602.741";"60707.502";"602.741";"60406.132";"1662373.179";"27.383"
"1901";"42";"0.012";"0.011";"690.21";"60104.761";"690.21";"59759.656";"1601967.047";"26.653"
"1901";"43";"0.01";"0.01";"594.749";"59414.551";"594.749";"59117.177";"1542207.391";"25.957"
"1901";"44";"0.01";"0.01";"586.668";"58819.802";"586.668";"58526.468";"1483090.214";"25.214"
"1901";"45";"0.011";"0.011";"612.843";"58233.134";"612.843";"57926.713";"1424563.746";"24.463"
"1901";"46";"0.011";"0.011";"605.685";"57620.291";"605.685";"57317.449";"1366637.034";"23.718"
"1901";"47";"0.011";"0.011";"615.451";"57014.606";"615.451";"56706.881";"1309319.585";"22.965"
"1901";"48";"0.012";"0.012";"666.27";"56399.155";"666.27";"56066.02";"1252612.705";"22.21"
"1901";"49";"0.012";"0.012";"644.001";"55732.885";"644.001";"55410.885";"1196546.684";"21.469"
"1901";"50";"0.014";"0.014";"746.552";"55088.884";"746.552";"54715.608";"1141135.8";"20.714"
"1901";"51";"0.013";"0.013";"701.017";"54342.333";"701.017";"53991.824";"1086420.191";"19.992"
"1901";"52";"0.015";"0.015";"785.679";"53641.316";"785.679";"53248.476";"1032428.367";"19.247"
"1901";"53";"0.014";"0.014";"752.671";"52855.637";"752.671";"52479.302";"979179.891";"18.526"
"1901";"54";"0.014";"0.014";"729.923";"52102.966";"729.923";"51738.005";"926700.589";"17.786"
"1901";"55";"0.016";"0.016";"814.956";"51373.044";"814.956";"50965.565";"874962.584";"17.032"
"1901";"56";"0.018";"0.018";"900.098";"50558.087";"900.098";"50108.039";"823997.019";"16.298"
"1901";"57";"0.02";"0.02";"975.327";"49657.99";"975.327";"49170.326";"773888.98";"15.584"
"1901";"58";"0.023";"0.023";"1126.91";"48682.663";"1126.91";"48119.208";"724718.654";"14.887"
"1901";"59";"0.025";"0.025";"1193.573";"47555.753";"1193.573";"46958.967";"676599.446";"14.227"
"1901";"60";"0.036";"0.035";"1645.443";"46362.181";"1645.443";"45539.459";"629640.479";"13.581"
"1901";"61";"0.036";"0.035";"1567.7";"44716.737";"1567.7";"43932.888";"584101.02";"13.062"
"1901";"62";"0.04";"0.039";"1680.575";"43149.038";"1680.575";"42308.75";"540168.132";"12.519"
"1901";"63";"0.042";"0.041";"1710.513";"41468.462";"1710.513";"40613.206";"497859.382";"12.006"
"1901";"64";"0.044";"0.043";"1722.087";"39757.949";"1722.087";"38896.905";"457246.176";"11.501"
"1901";"65";"0.05";"0.049";"1860.571";"38035.862";"1860.571";"37105.577";"418349.271";"10.999"
"1901";"66";"0.053";"0.052";"1864.771";"36175.291";"1864.771";"35242.906";"381243.694";"10.539"
"1901";"67";"0.052";"0.051";"1754.046";"34310.52";"1754.046";"33433.497";"346000.789";"10.084"
"1901";"68";"0.055";"0.054";"1743.799";"32556.474";"1743.799";"31684.574";"312567.291";"9.601"
"1901";"69";"0.054";"0.052";"1615.486";"30812.675";"1615.486";"30004.932";"280882.717";"9.116"
"1901";"70";"0.065";"0.063";"1831.116";"29197.189";"1831.116";"28281.631";"250877.785";"8.593"
"1901";"71";"0.06";"0.058";"1600.842";"27366.074";"1600.842";"26565.653";"222596.154";"8.134"
"1901";"72";"0.067";"0.065";"1669.342";"25765.232";"1669.342";"24930.561";"196030.501";"7.608"
"1901";"73";"0.069";"0.067";"1617.94";"24095.89";"1617.94";"23286.92";"171099.94";"7.101"
"1901";"74";"0.078";"0.075";"1688.016";"22477.95";"1688.016";"21633.942";"147813.02";"6.576"
"1901";"75";"0.092";"0.088";"1830.289";"20789.934";"1830.289";"19874.789";"126179.078";"6.069"
"1901";"76";"0.105";"0.1";"1894.292";"18959.645";"1894.292";"18012.499";"106304.288";"5.607"
"1901";"77";"0.12";"0.114";"1938.446";"17065.352";"1938.446";"16096.129";"88291.79";"5.174"
"1901";"78";"0.15";"0.14";"2111.247";"15126.906";"2111.247";"14071.283";"72195.66";"4.773"
"1901";"79";"0.152";"0.141";"1841.259";"13015.659";"1841.259";"12095.03";"58124.378";"4.466"
"1901";"80";"0.229";"0.206";"2299.933";"11174.4";"2299.933";"10024.434";"46029.348";"4.119"
"1901";"81";"0.233";"0.209";"1853.603";"8874.467";"1853.603";"7947.666";"36004.915";"4.057"
"1901";"82";"0.237";"0.212";"1488.01";"7020.864";"1488.01";"6276.86";"28057.249";"3.996"
"1901";"83";"0.241";"0.215";"1189.768";"5532.855";"1189.768";"4937.971";"21780.389";"3.937"
"1901";"84";"0.245";"0.218";"947.472";"4343.086";"947.472";"3869.35";"16842.419";"3.878"
"1901";"85";"0.249";"0.221";"751.446";"3395.614";"751.446";"3019.891";"12973.068";"3.821"
"1901";"86";"0.253";"0.224";"593.521";"2644.169";"593.521";"2347.408";"9953.177";"3.764"
"1901";"87";"0.257";"0.228";"466.833";"2050.648";"466.833";"1817.232";"7605.769";"3.709"
"1901";"88";"0.261";"0.231";"365.64";"1583.815";"365.64";"1400.996";"5788.537";"3.655"
